fame,segment,name_ko,stock_code,market,sector,group,homepage,ceo,listed,done,note
mid,listed-ext,코스메카코리아,241710,KOSDAQ,기타 화학제품 제조업,,http://www.cosmecca.com,"조임래, 박은희(각자대표)",2016-10-28,,
private,private,두나무,,비상장,핀테크/크립토,,https://www.dunamu.com,,,,빗썸 경쟁 업비트 운영
private,private,빗썸코리아,,비상장,크립토,,https://www.bithumb.com,,,,
private,private,카카오모빌리티,,비상장,모빌리티,카카오,https://www.kakaomobility.com,,,,카카오 계열 비상장
private,private,비바리퍼블리카,,비상장,핀테크,,https://toss.im,,,Y,토스-기수집(중복확인)
private,private,쿠팡,,비상장,이커머스,,https://www.coupang.com,,,,Coupang Inc 美상장(NYSE)·한국 인지도 최상
private,private,우아한형제들,,비상장,배달플랫폼,,https://www.woowahan.com,,,,배달의민족
private,private,직방,,비상장,프롭테크,,https://www.zigbang.com,,,,
private,private,버킷플레이스,,비상장,인테리어커머스,,https://www.bucketplace.com,,,Y,"서비스=오늘의집(중복 통합), 사업자 119-86-91245"
private,private,여기어때컴퍼니,,비상장,여행플랫폼,,https://www.gccompany.co.kr,,,,
private,private,컬리,,비상장,이커머스,,https://www.kurly.com,,,Y,마켓컬리-기수집(중복확인)
private,private,카카오스타일,,비상장,패션커머스,카카오,https://www.kakaostyle.com,,,,지그재그
private,private,에이블리코퍼레이션,,비상장,패션커머스,,https://www.a-bly.com,,,,
private,private,브랜디,,비상장,패션커머스,,https://www.brandi.co.kr,,,,
private,private,발란,,비상장,명품커머스,,https://www.balaan.co.kr,,,Y,★폐업/파산 선고 2026-02-24(deferred)
private,private,트렌비,,비상장,명품커머스,,https://www.trenbi.com,,,,
private,private,머스트잇,,비상장,명품커머스,,https://mustit.co.kr,,,,
private,private,29CM,,비상장,패션커머스,,https://www.29cm.co.kr,,,,무신사 계열
private,private,리디,,비상장,콘텐츠,,https://ridi.com,,,,리디북스
private,private,왓챠,,비상장,OTT,,https://watcha.com,,,,
private,private,패스트캠퍼스,,비상장,에듀테크,,https://www.fastcampus.co.kr,,,,데이원컴퍼니 계열
private,private,클래스101,,비상장,에듀테크,,https://class101.net,,,,
private,private,야나두,,비상장,에듀테크,,https://www.yanadoo.co.kr,,,,
private,private,스푼라디오,,비상장,오디오,,https://www.spooncast.net,,,,마이쿤
private,private,뤼튼테크놀로지스,,비상장,AI,,https://wrtn.ai,,,,생성형 AI 서비스(뤼튼)
private,private,업스테이지,,비상장,AI,,https://www.upstage.ai,,,,
private,private,스캐터랩,,비상장,AI,,https://scatterlab.co.kr,,,,이루다/제타
private,private,매스프레소,,비상장,에듀AI,,https://mathpresso.com,,,,콴다(QANDA)
private,private,라이너,,비상장,AI,,https://getliner.com,,,,
private,private,트웰브랩스,,비상장,AI,,https://www.twelvelabs.io,,,,영상이해 AI
private,private,딥브레인AI,,비상장,AI,,https://www.deepbrain.io,,,,
private,private,포티투마루,,비상장,AI,,https://42maru.ai,,,,
private,private,뉴럴웍스랩,,비상장,AI,,https://www.neuralworks.io,,,,
private,private,올거나이즈,,비상장,AI,,https://www.allganize.ai,,,,
private,private,카카오엔터프라이즈,,비상장,클라우드/AI,카카오,https://kakaoenterprise.com,,,,
private,private,페리지에어로스페이스,,비상장,우주,,https://www.perigee.space,,,,
private,private,이노스페이스,,비상장,우주,,https://www.innospc.com,,,,상장여부 확인필요
private,private,베어로보틱스,,비상장,로봇,,https://www.bearrobotics.ai,,,,
private,private,플리토,,비상장,번역AI,,https://www.flitto.com,,,,상장사일수있음(확인)
private,private,지놈앤컴퍼니,,비상장,바이오,,https://genomecom.co.kr,,,,상장확인
private,private,뷰노,,비상장,의료AI,,https://www.vuno.co,,,,기수집(중복확인)
private,private,오비맥주,,비상장,주류,,https://www.ob.co.kr,,,,카스·비상장
private,private,동서식품,,비상장,식품,,https://www.dongsuh.co.kr,,,,맥심·비상장
private,private,아성다이소,,비상장,유통,,https://www.daiso.co.kr,,,,다이소·비상장
private,private,이케아코리아,,비상장,유통,,https://www.ikea.com/kr,,,,비상장
private,private,스타벅스코리아,,비상장,외식,,https://www.starbucks.co.kr,,,,에스씨케이컴퍼니·신세계
private,private,교촌에프앤비,,비상장,외식,,https://www.kyochon.com,,,,상장(확인)
private,private,비에이치씨,,비상장,외식,,https://www.bhc.co.kr,,,,bhc치킨·비상장
private,private,제너시스BBQ,,비상장,외식,제너시스,https://www.bbq.co.kr,,,Y,수집:T1 bb.q SVG
private,private,메가엠지씨커피,,비상장,외식,,https://www.mega-mgccoffee.com,,,,메가커피·비상장
private,private,이디야,,비상장,외식,,https://www.ediya.com,,,,비상장
private,private,폴바셋,,비상장,외식,,https://www.paulbassett.co.kr,,,,매일유업 계열
